
agency_cd	site_no	datetime	tz_cd	69542_00060	69542_00060_cd
USGS	01578310	1996-01-15 00:00	EST	1120	A:[91]
USGS	01578310	1996-01-15 00:15	EST	1070	A:[91]
USGS	01578310	1996-01-15 00:30	EST	1040	A:[91]
USGS	01578310	1996-01-15 00:45	EST	1010	A:[91]
USGS	01578310	1996-01-15 01:00	EST	985	A:[91]
USGS	01578310	1996-01-15 01:15	EST	967	A:[91]
USGS	01578310	1996-01-15 01:30	EST	942	A:[91]
USGS	01578310	1996-01-15 01:45	EST	933	A:[91]
USGS	01578310	1996-01-15 02:00	EST	917	A:[91]
USGS	01578310	1996-01-15 02:15	EST	908	A:[91]
USGS	01578310	1996-01-15 02:30	EST	893	A:[91]
USGS	01578310	1996-01-15 02:45	EST	886	A:[91]
USGS	01578310	1996-01-15 03:00	EST	879	A:[91]
USGS	01578310	1996-01-15 03:15	EST	871	A:[91]
USGS	01578310	1996-01-15 03:30	EST	864	A:[91]
USGS	01578310	1996-01-15 03:45	EST	864	A:[91]
USGS	01578310	1996-01-15 04:00	EST	857	A:[91]
USGS	01578310	1996-01-15 04:15	EST	857	A:[91]
USGS	01578310	1996-01-15 04:30	EST	850	A:[91]
USGS	01578310	1996-01-15 04:45	EST	850	A:[91]
USGS	01578310	1996-01-15 05:00	EST	850	A:[91]
USGS	01578310	1996-01-15 05:15	EST	843	A:[91]
USGS	01578310	1996-01-15 05:30	EST	843	A:[91]
USGS	01578310	1996-01-15 05:45	EST	843	A:[91]
USGS	01578310	1996-01-15 06:00	EST	843	A:[91]
USGS	01578310	1996-01-15 06:15	EST	837	A:[91]
USGS	01578310	1996-01-15 06:30	EST	837	A:[91]
USGS	01578310	1996-01-15 06:45	EST	837	A:[91]
USGS	01578310	1996-01-15 07:00	EST	837	A:[91]
USGS	01578310	1996-01-15 07:15	EST	837	A:[91]
USGS	01578310	1996-01-15 07:30	EST	837	A:[91]
USGS	01578310	1996-01-15 07:45	EST	1000	A:[91]
USGS	01578310	1996-01-15 08:00	EST	7670	A:[91]
USGS	01578310	1996-01-15 08:15	EST	17900	A:[91]
USGS	01578310	1996-01-15 08:30	EST	21400	A:[91]
USGS	01578310	1996-01-15 08:45	EST	24500	A:[91]
USGS	01578310	1996-01-15 09:00	EST	30400	A:[91]
USGS	01578310	1996-01-15 09:15	EST	31600	A:[91]
USGS	01578310	1996-01-15 09:30	EST	32900	A:[91]
USGS	01578310	1996-01-15 09:45	EST	33100	A:[91]
USGS	01578310	1996-01-15 10:00	EST	33300	A:[91]
USGS	01578310	1996-01-15 10:15	EST	33200	A:[91]
USGS	01578310	1996-01-15 10:30	EST	32800	A:[91]
USGS	01578310	1996-01-15 10:45	EST	30600	A:[91]
USGS	01578310	1996-01-15 11:00	EST	29800	A:[91]
USGS	01578310	1996-01-15 11:15	EST	29300	A:[91]
USGS	01578310	1996-01-15 11:30	EST	29200	A:[91]
USGS	01578310	1996-01-15 11:45	EST	24600	A:[91]
USGS	01578310	1996-01-15 12:00	EST	23300	A:[91]
USGS	01578310	1996-01-15 12:15	EST	22900	A:[91]
USGS	01578310	1996-01-15 12:30	EST	22600	A:[91]
USGS	01578310	1996-01-15 12:45	EST	22500	A:[91]
USGS	01578310	1996-01-15 13:00	EST	22500	A:[91]
USGS	01578310	1996-01-15 13:15	EST	22400	A:[91]
USGS	01578310	1996-01-15 13:30	EST	22400	A:[91]
USGS	01578310	1996-01-15 13:45	EST	22400	A:[91]
USGS	01578310	1996-01-15 14:00	EST	22300	A:[91]
USGS	01578310	1996-01-15 14:15	EST	22400	A:[91]
USGS	01578310	1996-01-15 14:30	EST	22400	A:[91]
USGS	01578310	1996-01-15 14:45	EST	22400	A:[91]
USGS	01578310	1996-01-15 15:00	EST	22300	A:[91]
USGS	01578310	1996-01-15 15:15	EST	22300	A:[91]
USGS	01578310	1996-01-15 15:30	EST	22300	A:[91]
USGS	01578310	1996-01-15 15:45	EST	22400	A:[91]
USGS	01578310	1996-01-15 16:00	EST	22400	A:[91]
USGS	01578310	1996-01-15 16:15	EST	26000	A:[91]
USGS	01578310	1996-01-15 16:30	EST	34700	A:[91]
USGS	01578310	1996-01-15 16:45	EST	36900	A:[91]
USGS	01578310	1996-01-15 17:00	EST	37300	A:[91]
USGS	01578310	1996-01-15 17:15	EST	55000	A:[91]
USGS	01578310	1996-01-15 17:30	EST	64000	A:[91]
USGS	01578310	1996-01-15 17:45	EST	65600	A:[91]
USGS	01578310	1996-01-15 18:00	EST	66600	A:[91]
USGS	01578310	1996-01-15 18:15	EST	66400	A:[91]
USGS	01578310	1996-01-15 18:30	EST	66900	A:[91]
USGS	01578310	1996-01-15 18:45	EST	66700	A:[91]
USGS	01578310	1996-01-15 19:00	EST	66900	A:[91]
USGS	01578310	1996-01-15 19:15	EST	66700	A:[91]
USGS	01578310	1996-01-15 19:30	EST	66600	A:[91]
USGS	01578310	1996-01-15 19:45	EST	66400	A:[91]
USGS	01578310	1996-01-15 20:00	EST	61100	A:[91]
USGS	01578310	1996-01-15 20:15	EST	50300	A:[91]
USGS	01578310	1996-01-15 20:30	EST	37700	A:[91]
USGS	01578310	1996-01-15 20:45	EST	32800	A:[91]
USGS	01578310	1996-01-15 21:00	EST	27800	A:[91]
USGS	01578310	1996-01-15 21:15	EST	14700	A:[91]
USGS	01578310	1996-01-15 21:30	EST	7170	A:[91]
USGS	01578310	1996-01-15 21:45	EST	3760	A:[91]
USGS	01578310	1996-01-15 22:00	EST	2590	A:[91]
USGS	01578310	1996-01-15 22:15	EST	2020	A:[91]
USGS	01578310	1996-01-15 22:30	EST	1710	A:[91]
USGS	01578310	1996-01-15 22:45	EST	1500	A:[91]
USGS	01578310	1996-01-15 23:00	EST	1370	A:[91]
USGS	01578310	1996-01-15 23:15	EST	1260	A:[91]
USGS	01578310	1996-01-15 23:30	EST	1190	A:[91]
USGS	01578310	1996-01-15 23:45	EST	1130	A:[91]
USGS	01578310	1996-01-16 00:00	EST	1090	A:[91]
USGS	01578310	1996-01-16 00:15	EST	1050	A:[91]
USGS	01578310	1996-01-16 00:30	EST	1010	A:[91]
USGS	01578310	1996-01-16 00:45	EST	985	A:[91]
USGS	01578310	1996-01-16 01:00	EST	967	A:[91]
USGS	01578310	1996-01-16 01:15	EST	942	A:[91]
USGS	01578310	1996-01-16 01:30	EST	925	A:[91]
USGS	01578310	1996-01-16 01:45	EST	908	A:[91]
USGS	01578310	1996-01-16 02:00	EST	900	A:[91]
USGS	01578310	1996-01-16 02:15	EST	893	A:[91]
USGS	01578310	1996-01-16 02:30	EST	886	A:[91]
USGS	01578310	1996-01-16 02:45	EST	879	A:[91]
USGS	01578310	1996-01-16 03:00	EST	871	A:[91]
USGS	01578310	1996-01-16 03:15	EST	864	A:[91]
USGS	01578310	1996-01-16 03:30	EST	864	A:[91]
USGS	01578310	1996-01-16 03:45	EST	864	A:[91]
USGS	01578310	1996-01-16 04:00	EST	857	A:[91]
USGS	01578310	1996-01-16 04:15	EST	857	A:[91]
USGS	01578310	1996-01-16 04:30	EST	857	A:[91]
USGS	01578310	1996-01-16 04:45	EST	857	A:[91]
USGS	01578310	1996-01-16 05:00	EST	850	A:[91]
USGS	01578310	1996-01-16 05:15	EST	850	A:[91]
USGS	01578310	1996-01-16 05:30	EST	850	A:[91]
USGS	01578310	1996-01-16 05:45	EST	850	A:[91]
USGS	01578310	1996-01-16 06:00	EST	843	A:[91]
USGS	01578310	1996-01-16 06:15	EST	843	A:[91]
USGS	01578310	1996-01-16 06:30	EST	843	A:[91]
USGS	01578310	1996-01-16 06:45	EST	1860	A:[91]
USGS	01578310	1996-01-16 07:00	EST	15400	A:[91]
USGS	01578310	1996-01-16 07:15	EST	33700	A:[91]
USGS	01578310	1996-01-16 07:30	EST	42600	A:[91]
USGS	01578310	1996-01-16 07:45	EST	44600	A:[91]
USGS	01578310	1996-01-16 08:00	EST	44900	A:[91]
USGS	01578310	1996-01-16 08:15	EST	44900	A:[91]
USGS	01578310	1996-01-16 08:30	EST	45600	A:[91]
