
agency_cd	site_no	datetime	tz_cd	107460_00060	107460_00060_cd
USGS	01512500	1996-01-19 00:00	EST	2500	A:[91]
USGS	01512500	1996-01-19 00:22	EST	2440	A:[91]
USGS	01512500	1996-01-19 01:22	EST	2680	A:[91]
USGS	01512500	1996-01-19 02:22	EST	2880	A:[91]
USGS	01512500	1996-01-19 03:22	EST	3250	A:[91]
USGS	01512500	1996-01-19 04:22	EST	3780	A:[91]
USGS	01512500	1996-01-19 05:22	EST	3820	A:[91]
USGS	01512500	1996-01-19 06:22	EST	4220	A:[91]
USGS	01512500	1996-01-19 07:22	EST	5850	A:[91]
USGS	01512500	1996-01-19 08:22	EST	10100	A:[91]
USGS	01512500	1996-01-19 09:22	EST	11500	A:[91]
USGS	01512500	1996-01-19 10:22	EST	11200	A:[91]
USGS	01512500	1996-01-19 11:22	EST	12100	A:[91]
USGS	01512500	1996-01-19 12:22	EST	13300	A:[91]
USGS	01512500	1996-01-19 13:22	EST	15000	A:[91]
USGS	01512500	1996-01-19 14:22	EST	17100	A:[91]
USGS	01512500	1996-01-19 15:22	EST	19400	A:[91]
USGS	01512500	1996-01-19 16:22	EST	21600	A:[91]
USGS	01512500	1996-01-19 17:22	EST	23600	A:[91]
USGS	01512500	1996-01-19 18:22	EST	25900	A:[91]
USGS	01512500	1996-01-19 19:22	EST	28200	A:[91]
USGS	01512500	1996-01-19 20:22	EST	30100	A:[91]
USGS	01512500	1996-01-19 21:22	EST	31400	A:[91]
USGS	01512500	1996-01-19 22:22	EST	32300	A:[91]
USGS	01512500	1996-01-19 23:22	EST	32500	A:[91]
USGS	01512500	1996-01-20 00:00	EST	33300	A:[91]
USGS	01512500	1996-01-20 01:00	EST	33500	A:[91]
USGS	01512500	1996-01-20 02:00	EST	33700	A:[91]
USGS	01512500	1996-01-20 03:00	EST	33700	A:[91]
USGS	01512500	1996-01-20 04:00	EST	33600	A:[91]
USGS	01512500	1996-01-20 05:00	EST	33400	A:[91]
USGS	01512500	1996-01-20 06:00	EST	33000	A:[91]
USGS	01512500	1996-01-20 07:00	EST	32600	A:[91]
USGS	01512500	1996-01-20 08:00	EST	32200	A:[91]
USGS	01512500	1996-01-20 09:00	EST	31700	A:[91]
USGS	01512500	1996-01-20 10:00	EST	31400	A:[91]
USGS	01512500	1996-01-20 11:00	EST	31200	A:[91]
USGS	01512500	1996-01-20 12:00	EST	31100	A:[91]
USGS	01512500	1996-01-20 13:00	EST	31000	A:[91]
USGS	01512500	1996-01-20 14:00	EST	31000	A:[91]
USGS	01512500	1996-01-20 15:00	EST	30800	A:[91]
USGS	01512500	1996-01-20 16:00	EST	30700	A:[91]
USGS	01512500	1996-01-20 17:00	EST	30600	A:[91]
USGS	01512500	1996-01-20 18:00	EST	30300	A:[91]
USGS	01512500	1996-01-20 19:00	EST	29800	A:[91]
USGS	01512500	1996-01-20 20:00	EST	29200	A:[91]
USGS	01512500	1996-01-20 21:00	EST	28600	A:[91]
USGS	01512500	1996-01-20 22:00	EST	27900	A:[91]
USGS	01512500	1996-01-20 23:00	EST	27000	A:[91]
USGS	01512500	1996-01-21 00:00	EST	26200	A:[91]
USGS	01512500	1996-01-21 01:00	EST	25400	A:[91]
USGS	01512500	1996-01-21 02:00	EST	24600	A:[91]
USGS	01512500	1996-01-21 03:00	EST	23900	A:[91]
USGS	01512500	1996-01-21 04:00	EST	23100	A:[91]
USGS	01512500	1996-01-21 05:00	EST	22400	A:[91]
USGS	01512500	1996-01-21 06:00	EST	21700	A:[91]
USGS	01512500	1996-01-21 07:00	EST	21000	A:[91]
USGS	01512500	1996-01-21 08:00	EST	20300	A:[91]
USGS	01512500	1996-01-21 09:00	EST	19700	A:[91]
USGS	01512500	1996-01-21 10:00	EST	19100	A:[91]
USGS	01512500	1996-01-21 11:00	EST	18800	A:[91]
USGS	01512500	1996-01-21 12:00	EST	18600	A:[91]
USGS	01512500	1996-01-21 13:00	EST	18600	A:[91]
USGS	01512500	1996-01-21 14:00	EST	18400	A:[91]
USGS	01512500	1996-01-21 15:00	EST	18300	A:[91]
USGS	01512500	1996-01-21 16:00	EST	18200	A:[91]
USGS	01512500	1996-01-21 17:00	EST	18200	A:[91]
USGS	01512500	1996-01-21 18:00	EST	18100	A:[91]
USGS	01512500	1996-01-21 19:00	EST	17900	A:[91]
USGS	01512500	1996-01-21 20:00	EST	17800	A:[91]
USGS	01512500	1996-01-21 21:00	EST	17600	A:[91]
USGS	01512500	1996-01-21 22:00	EST	17400	A:[91]
USGS	01512500	1996-01-21 23:00	EST	17100	A:[91]
USGS	01512500	1996-01-22 00:00	EST	16700	A:[91]
USGS	01512500	1996-01-22 00:22	EST	16600	A:[91]
USGS	01512500	1996-01-22 01:22	EST	16500	A:[91]
USGS	01512500	1996-01-22 02:22	EST	16300	A:[91]
USGS	01512500	1996-01-22 03:22	EST	16200	A:[91]
USGS	01512500	1996-01-22 04:22	EST	16000	A:[91]
USGS	01512500	1996-01-22 05:22	EST	15800	A:[91]
USGS	01512500	1996-01-22 06:22	EST	15600	A:[91]
USGS	01512500	1996-01-22 07:22	EST	15400	A:[91]
USGS	01512500	1996-01-22 08:22	EST	15100	A:[91]
USGS	01512500	1996-01-22 09:22	EST	14800	A:[91]
USGS	01512500	1996-01-22 10:22	EST	14600	A:[91]
USGS	01512500	1996-01-22 11:22	EST	14400	A:[91]
USGS	01512500	1996-01-22 12:22	EST	14200	A:[91]
USGS	01512500	1996-01-22 13:22	EST	14000	A:[91]
USGS	01512500	1996-01-22 14:22	EST	13800	A:[91]
USGS	01512500	1996-01-22 15:22	EST	13800	A:[91]
USGS	01512500	1996-01-22 16:22	EST	13800	A:[91]
USGS	01512500	1996-01-22 17:22	EST	13700	A:[91]
USGS	01512500	1996-01-22 18:22	EST	13600	A:[91]
USGS	01512500	1996-01-22 19:22	EST	13400	A:[91]
USGS	01512500	1996-01-22 20:22	EST	13200	A:[91]
USGS	01512500	1996-01-22 21:22	EST	13100	A:[91]
USGS	01512500	1996-01-22 22:22	EST	13000	A:[91]
USGS	01512500	1996-01-22 23:22	EST	12900	A:[91]
USGS	01512500	1996-01-23 00:00	EST	12800	A:[91]
USGS	01512500	1996-01-23 00:22	EST	12800	A:[91]
USGS	01512500	1996-01-23 01:22	EST	12700	A:[91]
USGS	01512500	1996-01-23 02:22	EST	12600	A:[91]
USGS	01512500	1996-01-23 03:22	EST	12500	A:[91]
USGS	01512500	1996-01-23 04:22	EST	12400	A:[91]
USGS	01512500	1996-01-23 05:22	EST	12200	A:[91]
USGS	01512500	1996-01-23 06:22	EST	12100	A:[91]
USGS	01512500	1996-01-23 07:22	EST	12000	A:[91]
USGS	01512500	1996-01-23 08:22	EST	11800	A:[91]
USGS	01512500	1996-01-23 09:22	EST	11700	A:[91]
USGS	01512500	1996-01-23 10:22	EST	11600	A:[91]
USGS	01512500	1996-01-23 11:22	EST	11500	A:[91]
USGS	01512500	1996-01-23 12:22	EST	11400	A:[91]
USGS	01512500	1996-01-23 13:22	EST	11300	A:[91]
USGS	01512500	1996-01-23 14:22	EST	11200	A:[91]
USGS	01512500	1996-01-23 15:22	EST	11100	A:[91]
USGS	01512500	1996-01-23 16:22	EST	11000	A:[91]
USGS	01512500	1996-01-23 17:22	EST	10900	A:[91]
USGS	01512500	1996-01-23 18:22	EST	10900	A:[91]
USGS	01512500	1996-01-23 19:22	EST	10800	A:[91]
USGS	01512500	1996-01-23 20:22	EST	10700	A:[91]
USGS	01512500	1996-01-23 21:22	EST	10600	A:[91]
USGS	01512500	1996-01-23 22:22	EST	10500	A:[91]
USGS	01512500	1996-01-23 23:22	EST	10400	A:[91]
