
agency_cd	site_no	datetime	tz_cd	122154_00060	122154_00060_cd
USGS	01576000	1996-01-15 00:00	EST	15500	A:[91]
USGS	01576000	1996-01-15 00:28	EST	15400	A:[91]
USGS	01576000	1996-01-15 00:58	EST	15300	A:[91]
USGS	01576000	1996-01-15 01:28	EST	15300	A:[91]
USGS	01576000	1996-01-15 01:58	EST	15300	A:[91]
USGS	01576000	1996-01-15 02:28	EST	15300	A:[91]
USGS	01576000	1996-01-15 02:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 03:28	EST	15200	A:[91]
USGS	01576000	1996-01-15 03:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 04:28	EST	15200	A:[91]
USGS	01576000	1996-01-15 04:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 05:28	EST	15200	A:[91]
USGS	01576000	1996-01-15 05:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 06:28	EST	15200	A:[91]
USGS	01576000	1996-01-15 06:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 07:28	EST	15200	A:[91]
USGS	01576000	1996-01-15 07:58	EST	15200	A:[91]
USGS	01576000	1996-01-15 08:28	EST	15300	A:[91]
USGS	01576000	1996-01-15 08:58	EST	15300	A:[91]
USGS	01576000	1996-01-15 09:28	EST	15300	A:[91]
USGS	01576000	1996-01-15 09:58	EST	15300	A:[91]
USGS	01576000	1996-01-15 10:28	EST	15300	A:[91]
USGS	01576000	1996-01-15 10:58	EST	15300	A:[91]
USGS	01576000	1996-01-15 11:28	EST	15400	A:[91]
USGS	01576000	1996-01-15 11:58	EST	15500	A:[91]
USGS	01576000	1996-01-15 12:28	EST	15600	A:[91]
USGS	01576000	1996-01-15 12:58	EST	15700	A:[91]
USGS	01576000	1996-01-15 13:28	EST	15900	A:[91]
USGS	01576000	1996-01-15 13:58	EST	16000	A:[91]
USGS	01576000	1996-01-15 14:28	EST	16100	A:[91]
USGS	01576000	1996-01-15 14:58	EST	16200	A:[91]
USGS	01576000	1996-01-15 15:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 15:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 16:03	EST	16300	A:[91]
USGS	01576000	1996-01-15 16:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 16:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 17:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 17:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 18:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 18:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 19:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 19:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 20:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 20:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 21:28	EST	16300	A:[91]
USGS	01576000	1996-01-15 21:58	EST	16300	A:[91]
USGS	01576000	1996-01-15 22:28	EST	16200	A:[91]
USGS	01576000	1996-01-15 22:58	EST	16100	A:[91]
USGS	01576000	1996-01-15 23:28	EST	16100	A:[91]
USGS	01576000	1996-01-15 23:58	EST	16000	A:[91]
USGS	01576000	1996-01-16 00:00	EST	16000	A:[91]
USGS	01576000	1996-01-16 00:28	EST	16000	A:[91]
USGS	01576000	1996-01-16 00:58	EST	15900	A:[91]
USGS	01576000	1996-01-16 01:28	EST	15900	A:[91]
USGS	01576000	1996-01-16 01:58	EST	15900	A:[91]
USGS	01576000	1996-01-16 02:28	EST	15900	A:[91]
USGS	01576000	1996-01-16 02:58	EST	15800	A:[91]
USGS	01576000	1996-01-16 03:28	EST	15800	A:[91]
USGS	01576000	1996-01-16 03:58	EST	15800	A:[91]
USGS	01576000	1996-01-16 04:28	EST	15800	A:[91]
USGS	01576000	1996-01-16 04:58	EST	15800	A:[91]
USGS	01576000	1996-01-16 05:28	EST	15800	A:[91]
USGS	01576000	1996-01-16 05:58	EST	15800	A:[91]
USGS	01576000	1996-01-16 06:28	EST	15900	A:[91]
USGS	01576000	1996-01-16 06:58	EST	15900	A:[91]
USGS	01576000	1996-01-16 07:28	EST	15900	A:[91]
USGS	01576000	1996-01-16 07:58	EST	15900	A:[91]
USGS	01576000	1996-01-16 08:28	EST	16000	A:[91]
USGS	01576000	1996-01-16 08:58	EST	16100	A:[91]
USGS	01576000	1996-01-16 09:28	EST	16100	A:[91]
USGS	01576000	1996-01-16 09:58	EST	16100	A:[91]
USGS	01576000	1996-01-16 10:28	EST	16200	A:[91]
USGS	01576000	1996-01-16 10:58	EST	16300	A:[91]
USGS	01576000	1996-01-16 11:28	EST	16400	A:[91]
USGS	01576000	1996-01-16 11:58	EST	16600	A:[91]
USGS	01576000	1996-01-16 12:28	EST	16800	A:[91]
USGS	01576000	1996-01-16 12:58	EST	17000	A:[91]
USGS	01576000	1996-01-16 13:28	EST	17200	A:[91]
USGS	01576000	1996-01-16 13:58	EST	17400	A:[91]
USGS	01576000	1996-01-16 14:28	EST	17600	A:[91]
USGS	01576000	1996-01-16 14:58	EST	17700	A:[91]
USGS	01576000	1996-01-16 15:14	EST	17800	A:[91]
USGS	01576000	1996-01-16 15:28	EST	17800	A:[91]
USGS	01576000	1996-01-16 15:58	EST	17900	A:[91]
USGS	01576000	1996-01-16 16:28	EST	17900	A:[91]
USGS	01576000	1996-01-16 16:58	EST	17900	A:[91]
USGS	01576000	1996-01-16 17:28	EST	17800	A:[91]
USGS	01576000	1996-01-16 17:58	EST	17800	A:[91]
USGS	01576000	1996-01-16 18:28	EST	17700	A:[91]
USGS	01576000	1996-01-16 18:58	EST	17700	A:[91]
USGS	01576000	1996-01-16 19:28	EST	17700	A:[91]
USGS	01576000	1996-01-16 19:58	EST	17700	A:[91]
USGS	01576000	1996-01-16 20:28	EST	17500	A:[91]
USGS	01576000	1996-01-16 20:58	EST	17500	A:[91]
USGS	01576000	1996-01-16 21:28	EST	17500	A:[91]
USGS	01576000	1996-01-16 21:58	EST	17500	A:[91]
USGS	01576000	1996-01-16 22:28	EST	17500	A:[91]
USGS	01576000	1996-01-16 22:58	EST	17500	A:[91]
USGS	01576000	1996-01-16 23:28	EST	17400	A:[91]
USGS	01576000	1996-01-16 23:58	EST	17400	A:[91]
USGS	01576000	1996-01-17 00:00	EST	17400	A:[91]
USGS	01576000	1996-01-17 00:28	EST	17400	A:[91]
USGS	01576000	1996-01-17 00:58	EST	17400	A:[91]
USGS	01576000	1996-01-17 01:28	EST	17400	A:[91]
USGS	01576000	1996-01-17 01:58	EST	17400	A:[91]
USGS	01576000	1996-01-17 02:28	EST	17400	A:[91]
USGS	01576000	1996-01-17 02:58	EST	17400	A:[91]
USGS	01576000	1996-01-17 03:28	EST	17400	A:[91]
USGS	01576000	1996-01-17 03:58	EST	17400	A:[91]
USGS	01576000	1996-01-17 04:28	EST	17500	A:[91]
USGS	01576000	1996-01-17 04:58	EST	17500	A:[91]
USGS	01576000	1996-01-17 05:28	EST	17500	A:[91]
USGS	01576000	1996-01-17 05:58	EST	17500	A:[91]
USGS	01576000	1996-01-17 06:28	EST	17500	A:[91]
USGS	01576000	1996-01-17 06:58	EST	17600	A:[91]
USGS	01576000	1996-01-17 07:28	EST	17600	A:[91]
USGS	01576000	1996-01-17 07:58	EST	17600	A:[91]
USGS	01576000	1996-01-17 08:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 08:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 09:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 09:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 10:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 10:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 11:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 11:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 12:11	EST	17800	A:[91]
USGS	01576000	1996-01-17 12:28	EST	17800	A:[91]
USGS	01576000	1996-01-17 12:58	EST	17900	A:[91]
USGS	01576000	1996-01-17 13:28	EST	17900	A:[91]
USGS	01576000	1996-01-17 13:58	EST	18000	A:[91]
USGS	01576000	1996-01-17 14:28	EST	18000	A:[91]
USGS	01576000	1996-01-17 14:58	EST	18000	A:[91]
USGS	01576000	1996-01-17 15:28	EST	18000	A:[91]
USGS	01576000	1996-01-17 15:58	EST	18000	A:[91]
USGS	01576000	1996-01-17 16:28	EST	17900	A:[91]
USGS	01576000	1996-01-17 16:58	EST	17800	A:[91]
USGS	01576000	1996-01-17 17:28	EST	17800	A:[91]
USGS	01576000	1996-01-17 17:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 18:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 18:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 19:28	EST	17700	A:[91]
USGS	01576000	1996-01-17 19:58	EST	17700	A:[91]
USGS	01576000	1996-01-17 20:28	EST	17700	A:[91]
