agency_cd	site_no	datetime	tz_cd	121977_00060	121977_00060_c
USGS	01554000	1996-01-18 00:00	EST	16700	A:[91]
USGS	01554000	1996-01-18 00:15	EST	16700	A:[91]
USGS	01554000	1996-01-18 00:30	EST	16700	A:[91]
USGS	01554000	1996-01-18 00:45	EST	16700	A:[91]
USGS	01554000	1996-01-18 01:00	EST	16700	A:[91]
USGS	01554000	1996-01-18 01:15	EST	16700	A:[91]
USGS	01554000	1996-01-18 01:30	EST	16800	A:[91]
USGS	01554000	1996-01-18 01:45	EST	16800	A:[91]
USGS	01554000	1996-01-18 02:00	EST	16800	A:[91]
USGS	01554000	1996-01-18 02:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 02:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 02:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 03:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 03:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 03:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 03:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 04:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 04:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 04:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 04:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 05:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 05:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 05:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 05:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 06:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 06:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 06:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 06:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 07:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 07:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 07:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 07:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 08:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 08:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 08:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 08:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 09:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 09:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 09:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 09:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 10:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 10:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 10:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 10:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 11:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 11:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 11:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 11:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 12:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 12:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 12:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 12:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 13:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 13:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 13:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 13:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 14:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 14:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 14:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 14:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 15:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 15:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 15:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 15:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 16:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 16:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 16:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 16:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 17:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 17:15	EST	16800	A:[91]
USGS	01554000	1996-01-18 17:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 17:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 18:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 18:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 18:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 18:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 19:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 19:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 19:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 19:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 20:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 20:15	EST	16900	A:[91]
USGS	01554000	1996-01-18 20:30	EST	16900	A:[91]
USGS	01554000	1996-01-18 20:45	EST	16900	A:[91]
USGS	01554000	1996-01-18 21:00	EST	16900	A:[91]
USGS	01554000	1996-01-18 21:15	EST	17000	A:[91]
USGS	01554000	1996-01-18 21:30	EST	17000	A:[91]
USGS	01554000	1996-01-18 21:45	EST	17000	A:[91]
USGS	01554000	1996-01-18 22:00	EST	17000	A:[91]
USGS	01554000	1996-01-18 22:15	EST	17100	A:[91]
USGS	01554000	1996-01-18 22:30	EST	17100	A:[91]
USGS	01554000	1996-01-18 22:45	EST	17200	A:[91]
USGS	01554000	1996-01-18 23:00	EST	17200	A:[91]
USGS	01554000	1996-01-18 23:15	EST	17200	A:[91]
USGS	01554000	1996-01-18 23:30	EST	17200	A:[91]
USGS	01554000	1996-01-18 23:45	EST	17200	A:[91]
USGS	01554000	1996-01-19 00:00	EST	17300	A:[91]
USGS	01554000	1996-01-19 00:15	EST	17300	A:[91]
USGS	01554000	1996-01-19 00:30	EST	17500	A:[91]
USGS	01554000	1996-01-19 00:45	EST	17700	A:[91]
USGS	01554000	1996-01-19 01:00	EST	19400	A:[91]
USGS	01554000	1996-01-19 01:15	EST	20100	A:[91]
USGS	01554000	1996-01-19 01:30	EST	19700	A:[91]
USGS	01554000	1996-01-19 01:45	EST	19400	A:[91]
USGS	01554000	1996-01-19 02:00	EST	19000	A:[91]
USGS	01554000	1996-01-19 02:15	EST	18600	A:[91]
USGS	01554000	1996-01-19 02:30	EST	18500	A:[91]
USGS	01554000	1996-01-19 02:45	EST	18400	A:[91]
USGS	01554000	1996-01-19 03:00	EST	18400	A:[91]
USGS	01554000	1996-01-19 03:15	EST	18500	A:[91]
USGS	01554000	1996-01-19 03:30	EST	18500	A:[91]
USGS	01554000	1996-01-19 03:45	EST	18500	A:[91]
USGS	01554000	1996-01-19 04:00	EST	18500	A:[91]
USGS	01554000	1996-01-19 04:15	EST	18600	A:[91]
USGS	01554000	1996-01-19 04:30	EST	18800	A:[91]
USGS	01554000	1996-01-19 04:45	EST	18800	A:[91]
USGS	01554000	1996-01-19 05:00	EST	19000	A:[91]
USGS	01554000	1996-01-19 05:15	EST	19200	A:[91]
USGS	01554000	1996-01-19 05:30	EST	19500	A:[91]
USGS	01554000	1996-01-19 05:45	EST	20000	A:[91]
USGS	01554000	1996-01-19 06:00	EST	20300	A:[91]
USGS	01554000	1996-01-19 06:15	EST	20600	A:[91]
USGS	01554000	1996-01-19 06:30	EST	20900	A:[91]
USGS	01554000	1996-01-19 06:45	EST	21100	A:[91]
USGS	01554000	1996-01-19 07:00	EST	21400	A:[91]
USGS	01554000	1996-01-19 07:15	EST	21800	A:[91]
