
agency_cd	site_no	datetime	tz_cd	121726_00060	121726_00060_cd
USGS	01518700	1996-01-15 00:00	EST	157	A:[91]
USGS	01518700	1996-01-15 00:14	EST	157	A:[91]
USGS	01518700	1996-01-15 00:29	EST	157	A:[91]
USGS	01518700	1996-01-15 00:44	EST	157	A:[91]
USGS	01518700	1996-01-15 00:59	EST	157	A:[91]
USGS	01518700	1996-01-15 01:14	EST	157	A:[91]
USGS	01518700	1996-01-15 01:29	EST	157	A:[91]
USGS	01518700	1996-01-15 01:44	EST	157	A:[91]
USGS	01518700	1996-01-15 01:59	EST	157	A:[91]
USGS	01518700	1996-01-15 02:14	EST	157	A:[91]
USGS	01518700	1996-01-15 02:29	EST	157	A:[91]
USGS	01518700	1996-01-15 02:44	EST	157	A:[91]
USGS	01518700	1996-01-15 02:59	EST	157	A:[91]
USGS	01518700	1996-01-15 03:14	EST	157	A:[91]
USGS	01518700	1996-01-15 03:29	EST	157	A:[91]
USGS	01518700	1996-01-15 03:44	EST	157	A:[91]
USGS	01518700	1996-01-15 03:59	EST	157	A:[91]
USGS	01518700	1996-01-15 04:14	EST	157	A:[91]
USGS	01518700	1996-01-15 04:29	EST	157	A:[91]
USGS	01518700	1996-01-15 04:44	EST	157	A:[91]
USGS	01518700	1996-01-15 04:59	EST	157	A:[91]
USGS	01518700	1996-01-15 05:14	EST	157	A:[91]
USGS	01518700	1996-01-15 05:29	EST	157	A:[91]
USGS	01518700	1996-01-15 05:44	EST	157	A:[91]
USGS	01518700	1996-01-15 05:59	EST	157	A:[91]
USGS	01518700	1996-01-15 06:14	EST	157	A:[91]
USGS	01518700	1996-01-15 06:29	EST	157	A:[91]
USGS	01518700	1996-01-15 06:44	EST	157	A:[91]
USGS	01518700	1996-01-15 06:59	EST	157	A:[91]
USGS	01518700	1996-01-15 07:14	EST	157	A:[91]
USGS	01518700	1996-01-15 07:29	EST	157	A:[91]
USGS	01518700	1996-01-15 07:44	EST	157	A:[91]
USGS	01518700	1996-01-15 07:59	EST	157	A:[91]
USGS	01518700	1996-01-15 08:14	EST	157	A:[91]
USGS	01518700	1996-01-15 08:29	EST	157	A:[91]
