agency_cd	site_no	datetime	tz_cd	107419_00060	107419_00060_cd
USGS	01500500	1996-01-15 00:00	EST	769	A:[91]
USGS	01500500	1996-01-15 00:15	EST	769	A:[91]
USGS	01500500	1996-01-15 00:45	EST	769	A:[91]
USGS	01500500	1996-01-15 01:15	EST	769	A:[91]
USGS	01500500	1996-01-15 01:45	EST	763	A:[91]
USGS	01500500	1996-01-15 02:15	EST	763	A:[91]
USGS	01500500	1996-01-15 02:45	EST	756	A:[91]
USGS	01500500	1996-01-15 03:15	EST	756	A:[91]
USGS	01500500	1996-01-15 03:45	EST	756	A:[91]
USGS	01500500	1996-01-15 04:15	EST	756	A:[91]
USGS	01500500	1996-01-15 04:45	EST	756	A:[91]
USGS	01500500	1996-01-15 05:15	EST	756	A:[91]
USGS	01500500	1996-01-15 05:45	EST	756	A:[91]
USGS	01500500	1996-01-15 06:15	EST	756	A:[91]
USGS	01500500	1996-01-15 06:45	EST	756	A:[91]
USGS	01500500	1996-01-15 07:15	EST	756	A:[91]
USGS	01500500	1996-01-15 07:45	EST	756	A:[91]
USGS	01500500	1996-01-15 08:15	EST	756	A:[91]
USGS	01500500	1996-01-15 08:45	EST	756	A:[91]
USGS	01500500	1996-01-15 09:15	EST	756	A:[91]
USGS	01500500	1996-01-15 09:45	EST	756	A:[91]
USGS	01500500	1996-01-15 10:15	EST	763	A:[91]
USGS	01500500	1996-01-15 10:45	EST	769	A:[91]
USGS	01500500	1996-01-15 11:15	EST	769	A:[91]
USGS	01500500	1996-01-15 11:45	EST	769	A:[91]
USGS	01500500	1996-01-15 12:15	EST	769	A:[91]
USGS	01500500	1996-01-15 12:45	EST	769	A:[91]
USGS	01500500	1996-01-15 13:15	EST	769	A:[91]
USGS	01500500	1996-01-15 13:45	EST	769	A:[91]
USGS	01500500	1996-01-15 14:15	EST	769	A:[91]
USGS	01500500	1996-01-15 14:45	EST	769	A:[91]
USGS	01500500	1996-01-15 15:15	EST	769	A:[91]
USGS	01500500	1996-01-15 15:45	EST	769	A:[91]
USGS	01500500	1996-01-15 16:15	EST	769	A:[91]
USGS	01500500	1996-01-15 16:45	EST	763	A:[91]
USGS	01500500	1996-01-15 17:15	EST	763	A:[91]
USGS	01500500	1996-01-15 17:45	EST	763	A:[91]
USGS	01500500	1996-01-15 18:15	EST	763	A:[91]
USGS	01500500	1996-01-15 18:45	EST	763	A:[91]
USGS	01500500	1996-01-15 19:15	EST	763	A:[91]
USGS	01500500	1996-01-15 19:45	EST	763	A:[91]
USGS	01500500	1996-01-15 20:15	EST	763	A:[91]
USGS	01500500	1996-01-15 20:45	EST	769	A:[91]
USGS	01500500	1996-01-15 21:15	EST	776	A:[91]
USGS	01500500	1996-01-15 21:45	EST	782	A:[91]
USGS	01500500	1996-01-15 22:15	EST	789	A:[91]
USGS	01500500	1996-01-15 22:45	EST	802	A:[91]
USGS	01500500	1996-01-15 23:15	EST	809	A:[91]
USGS	01500500	1996-01-15 23:45	EST	815	A:[91]
USGS	01500500	1996-01-16 00:00	EST	819	A:[91]
USGS	01500500	1996-01-16 00:15	EST	822	A:[91]
USGS	01500500	1996-01-16 00:45	EST	829	A:[91]
USGS	01500500	1996-01-16 01:15	EST	829	A:[91]
USGS	01500500	1996-01-16 01:45	EST	837	A:[91]
USGS	01500500	1996-01-16 02:15	EST	844	A:[91]
USGS	01500500	1996-01-16 02:45	EST	844	A:[91]
USGS	01500500	1996-01-16 03:15	EST	844	A:[91]
USGS	01500500	1996-01-16 03:45	EST	852	A:[91]
USGS	01500500	1996-01-16 04:15	EST	852	A:[91]
USGS	01500500	1996-01-16 04:45	EST	852	A:[91]
USGS	01500500	1996-01-16 05:15	EST	852	A:[91]
USGS	01500500	1996-01-16 05:45	EST	852	A:[91]
USGS	01500500	1996-01-16 06:15	EST	852	A:[91]
USGS	01500500	1996-01-16 06:45	EST	852	A:[91]
USGS	01500500	1996-01-16 07:15	EST	859	A:[91]
USGS	01500500	1996-01-16 07:45	EST	859	A:[91]
USGS	01500500	1996-01-16 08:15	EST	859	A:[91]
USGS	01500500	1996-01-16 08:45	EST	867	A:[91]
USGS	01500500	1996-01-16 09:15	EST	875	A:[91]
USGS	01500500	1996-01-16 09:45	EST	875	A:[91]
USGS	01500500	1996-01-16 10:15	EST	890	A:[91]
USGS	01500500	1996-01-16 10:45	EST	890	A:[91]
USGS	01500500	1996-01-16 11:15	EST	890	A:[91]
USGS	01500500	1996-01-16 11:45	EST	914	A:[91]
USGS	01500500	1996-01-16 12:15	EST	906	A:[91]
USGS	01500500	1996-01-16 12:45	EST	906	A:[91]
USGS	01500500	1996-01-16 13:15	EST	906	A:[91]
USGS	01500500	1996-01-16 13:45	EST	906	A:[91]
USGS	01500500	1996-01-16 14:15	EST	906	A:[91]
USGS	01500500	1996-01-16 14:45	EST	898	A:[91]
USGS	01500500	1996-01-16 15:15	EST	890	A:[91]
USGS	01500500	1996-01-16 15:45	EST	875	A:[91]
USGS	01500500	1996-01-16 16:15	EST	859	A:[91]
USGS	01500500	1996-01-16 16:45	EST	852	A:[91]
USGS	01500500	1996-01-16 17:15	EST	844	A:[91]
USGS	01500500	1996-01-16 17:45	EST	844	A:[91]
USGS	01500500	1996-01-16 18:15	EST	837	A:[91]
USGS	01500500	1996-01-16 18:45	EST	837	A:[91]
USGS	01500500	1996-01-16 19:15	EST	837	A:[91]
USGS	01500500	1996-01-16 19:45	EST	837	A:[91]
USGS	01500500	1996-01-16 20:15	EST	837	A:[91]
USGS	01500500	1996-01-16 20:45	EST	837	A:[91]
USGS	01500500	1996-01-16 21:15	EST	837	A:[91]
USGS	01500500	1996-01-16 21:45	EST	852	A:[91]
USGS	01500500	1996-01-16 22:15	EST	883	A:[91]
USGS	01500500	1996-01-16 22:45	EST	898	A:[91]
USGS	01500500	1996-01-16 23:15	EST	890	A:[91]
USGS	01500500	1996-01-16 23:45	EST	875	A:[91]
USGS	01500500	1996-01-17 00:00	EST	867	A:[91]
USGS	01500500	1996-01-17 00:15	EST	859	A:[91]
USGS	01500500	1996-01-17 00:45	EST	844	A:[91]
USGS	01500500	1996-01-17 01:15	EST	829	A:[91]
USGS	01500500	1996-01-17 01:45	EST	815	A:[91]
USGS	01500500	1996-01-17 02:15	EST	809	A:[91]
USGS	01500500	1996-01-17 02:45	EST	776	A:[91]
USGS	01500500	1996-01-17 03:15	EST	763	A:[91]
USGS	01500500	1996-01-17 03:45	EST	750	A:[91]
USGS	01500500	1996-01-17 04:15	EST	744	A:[91]
USGS	01500500	1996-01-17 04:45	EST	737	A:[91]
USGS	01500500	1996-01-17 05:15	EST	731	A:[91]
USGS	01500500	1996-01-17 05:45	EST	731	A:[91]
USGS	01500500	1996-01-17 06:15	EST	725	A:[91]
USGS	01500500	1996-01-17 06:45	EST	725	A:[91]
USGS	01500500	1996-01-17 07:15	EST	725	A:[91]
USGS	01500500	1996-01-17 07:45	EST	731	A:[91]
USGS	01500500	1996-01-17 08:15	EST	731	A:[91]
USGS	01500500	1996-01-17 08:45	EST	731	A:[91]
USGS	01500500	1996-01-17 09:15	EST	731	A:[91]
USGS	01500500	1996-01-17 09:45	EST	737	A:[91]
USGS	01500500	1996-01-17 10:15	EST	744	A:[91]
