
agency_cd	site_no	datetime	tz_cd	121945_00060	121945_00060_cd
USGS	01551500	1996-01-19 00:00	EST	6110	A:[91]
USGS	01551500	1996-01-19 00:13	EST	6140	A:[91]
USGS	01551500	1996-01-19 00:28	EST	6210	A:[91]
USGS	01551500	1996-01-19 00:43	EST	6260	A:[91]
USGS	01551500	1996-01-19 00:58	EST	6290	A:[91]
USGS	01551500	1996-01-19 01:13	EST	6360	A:[91]
USGS	01551500	1996-01-19 01:28	EST	6440	A:[91]
USGS	01551500	1996-01-19 01:43	EST	6510	A:[91]
USGS	01551500	1996-01-19 01:58	EST	6570	A:[91]
USGS	01551500	1996-01-19 02:13	EST	6590	A:[91]
USGS	01551500	1996-01-19 02:28	EST	6640	A:[91]
USGS	01551500	1996-01-19 02:43	EST	6720	A:[91]
USGS	01551500	1996-01-19 02:58	EST	6750	A:[91]
USGS	01551500	1996-01-19 03:13	EST	6820	A:[91]
USGS	01551500	1996-01-19 03:28	EST	6900	A:[91]
USGS	01551500	1996-01-19 03:43	EST	6950	A:[91]
USGS	01551500	1996-01-19 03:58	EST	7030	A:[91]
USGS	01551500	1996-01-19 04:13	EST	7060	A:[91]
USGS	01551500	1996-01-19 04:28	EST	7140	A:[91]
USGS	01551500	1996-01-19 04:43	EST	7220	A:[91]
USGS	01551500	1996-01-19 04:58	EST	7300	A:[91]
USGS	01551500	1996-01-19 05:13	EST	7380	A:[91]
USGS	01551500	1996-01-19 05:28	EST	7460	A:[91]
USGS	01551500	1996-01-19 05:43	EST	7600	A:[91]
USGS	01551500	1996-01-19 05:58	EST	7680	A:[91]
USGS	01551500	1996-01-19 06:13	EST	7760	A:[91]
USGS	01551500	1996-01-19 06:28	EST	7870	A:[91]
USGS	01551500	1996-01-19 06:43	EST	8010	A:[91]
USGS	01551500	1996-01-19 06:58	EST	8090	A:[91]
USGS	01551500	1996-01-19 07:13	EST	8230	A:[91]
USGS	01551500	1996-01-19 07:28	EST	8430	A:[91]
USGS	01551500	1996-01-19 07:43	EST	8660	A:[91]
USGS	01551500	1996-01-19 07:58	EST	8890	A:[91]
USGS	01551500	1996-01-19 08:13	EST	9210	A:[91]
USGS	01551500	1996-01-19 08:28	EST	9510	A:[91]
USGS	01551500	1996-01-19 08:43	EST	9880	A:[91]
USGS	01551500	1996-01-19 08:58	EST	10400	A:[91]
USGS	01551500	1996-01-19 09:13	EST	11300	A:[91]
USGS	01551500	1996-01-19 09:28	EST	12400	A:[91]
USGS	01551500	1996-01-19 09:31	EST	12700	A:[91]
USGS	01551500	1996-01-19 09:43	EST	13700	A:[91]
USGS	01551500	1996-01-19 09:45	EST	13900	A:[91]
USGS	01551500	1996-01-19 09:58	EST	14700	A:[91]
USGS	01551500	1996-01-19 10:09	EST	15500	A:[91]
USGS	01551500	1996-01-19 10:13	EST	15800	A:[91]
USGS	01551500	1996-01-19 10:28	EST	17200	A:[91]
USGS	01551500	1996-01-19 10:43	EST	18400	A:[91]
USGS	01551500	1996-01-19 10:52	EST	19100	A:[91]
USGS	01551500	1996-01-19 10:58	EST	19500	A:[91]
USGS	01551500	1996-01-19 11:06	EST	20000	A:[91]
USGS	01551500	1996-01-19 11:11	EST	20300	A:[91]
USGS	01551500	1996-01-19 11:13	EST	20400	A:[91]
USGS	01551500	1996-01-19 11:28	EST	21800	A:[91]
USGS	01551500	1996-01-19 11:36	EST	22600	A:[91]
USGS	01551500	1996-01-19 11:43	EST	23100	A:[91]
USGS	01551500	1996-01-19 11:47	EST	23400	A:[91]
USGS	01551500	1996-01-19 11:48	EST	23600	A:[91]
USGS	01551500	1996-01-19 11:51	EST	23700	A:[91]
USGS	01551500	1996-01-19 11:57	EST	24300	A:[91]
USGS	01551500	1996-01-19 11:58	EST	24300	A:[91]
USGS	01551500	1996-01-19 12:13	EST	26100	A:[91]
USGS	01551500	1996-01-19 12:19	EST	27100	A:[91]
USGS	01551500	1996-01-19 12:28	EST	28300	A:[91]
USGS	01551500	1996-01-19 12:39	EST	29500	A:[91]
USGS	01551500	1996-01-19 12:43	EST	29700	A:[91]
USGS	01551500	1996-01-19 12:49	EST	30100	A:[91]
USGS	01551500	1996-01-19 12:58	EST	30900	A:[91]
USGS	01551500	1996-01-19 13:06	EST	31700	A:[91]
USGS	01551500	1996-01-19 13:09	EST	32000	A:[91]
USGS	01551500	1996-01-19 13:13	EST	32700	A:[91]
USGS	01551500	1996-01-19 13:17	EST	34300	A:[91]
USGS	01551500	1996-01-19 13:28	EST	37900	A:[91]
USGS	01551500	1996-01-19 13:43	EST	42100	A:[91]
USGS	01551500	1996-01-19 13:48	EST	43200	A:[91]
USGS	01551500	1996-01-19 13:58	EST	44900	A:[91]
USGS	01551500	1996-01-19 14:13	EST	46700	A:[91]
USGS	01551500	1996-01-19 14:19	EST	47200	A:[91]
USGS	01551500	1996-01-19 14:26	EST	48100	A:[91]
USGS	01551500	1996-01-19 14:28	EST	48500	A:[91]
USGS	01551500	1996-01-19 14:43	EST	52300	A:[91]
USGS	01551500	1996-01-19 14:56	EST	54800	A:[91]
USGS	01551500	1996-01-19 14:58	EST	55100	A:[91]
USGS	01551500	1996-01-19 15:12	EST	57000	A:[91]
USGS	01551500	1996-01-19 15:13	EST	57000	A:[91]
USGS	01551500	1996-01-19 15:21	EST	58900	A:[91]
USGS	01551500	1996-01-19 15:28	EST	60900	A:[91]
USGS	01551500	1996-01-19 15:43	EST	65800	A:[91]
USGS	01551500	1996-01-19 15:58	EST	68300	A:[91]
USGS	01551500	1996-01-19 16:03	EST	69100	A:[91]
USGS	01551500	1996-01-19 16:13	EST	71300	A:[91]
USGS	01551500	1996-01-19 16:21	EST	74900	A:[91]
USGS	01551500	1996-01-19 16:28	EST	77400	A:[91]
USGS	01551500	1996-01-19 16:34	EST	79200	A:[91]
USGS	01551500	1996-01-19 16:38	EST	80600	A:[91]
USGS	01551500	1996-01-19 16:43	EST	82000	A:[91]
USGS	01551500	1996-01-19 16:44	EST	82300	A:[91]
USGS	01551500	1996-01-19 16:57	EST	84700	A:[91]
USGS	01551500	1996-01-19 16:58	EST	84700	A:[91]
USGS	01551500	1996-01-19 17:13	EST	89000	A:[91]
USGS	01551500	1996-01-19 17:17	EST	91600	A:[91]
USGS	01551500	1996-01-19 17:28	EST	97500	A:[91]
USGS	01551500	1996-01-19 17:33	EST	99300	A:[91]
USGS	01551500	1996-01-19 17:43	EST	101000	A:[91]
USGS	01551500	1996-01-19 17:58	EST	105000	A:[91]
USGS	01551500	1996-01-19 18:13	EST	112000	A:[91]
USGS	01551500	1996-01-19 18:26	EST	115000	A:[91]
USGS	01551500	1996-01-19 18:28	EST	115000	A:[91]
USGS	01551500	1996-01-19 18:37	EST	118000	A:[91]
USGS	01551500	1996-01-19 18:43	EST	121000	A:[91]
USGS	01551500	1996-01-19 18:46	EST	122000	A:[91]
USGS	01551500	1996-01-19 18:58	EST	126000	A:[91]
USGS	01551500	1996-01-19 19:07	EST	129000	A:[91]
USGS	01551500	1996-01-19 19:13	EST	131000	A:[91]
USGS	01551500	1996-01-19 19:28	EST	137000	A:[91]
USGS	01551500	1996-01-19 19:30	EST	138000	A:[91]
USGS	01551500	1996-01-19 19:43	EST	141000	A:[91]
USGS	01551500	1996-01-19 19:58	EST	147000	A:[91]
USGS	01551500	1996-01-19 20:11	EST	151000	A:[91]
USGS	01551500	1996-01-19 20:13	EST	151000	A:[91]
