station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AGC,1996-01-13 00:00,23.90,19.94,84.60,310.00,5.00,M,29.78,M,7.00,M,OVC,   ,   ,   ,1000.00,M,M,M,-SN,M,M,M,M,M,M,16.78,KAGC 130000Z 31005KT 7SM -SN OVC010 M05/M07 A2978 RMK PCPN VRY LGT; SLPNO T10451067
AGC,1996-01-13 01:00,23.90,20.84,87.90,300.00,6.00,M,29.79,M,7.00,M,OVC,   ,   ,   ,1000.00,M,M,M,-SN,M,M,M,M,M,M,15.77,KAGC 130100Z 30006KT 7SM -SN OVC010 M05/M06 A2979 RMK PCPN VRY LGT; SLPNO T10451062
AGC,1996-01-13 03:00,23.00,19.94,87.85,300.00,10.00,M,29.79,M,7.00,M,OVC,   ,   ,   ,1400.00,M,M,M,M,M,M,M,M,M,M,11.68,KAGC 130300Z 30010KT 7SM OVC014 M05/M07 A2979 RMK SLPNO T10501067
AGC,1996-01-13 04:00,23.00,19.94,87.85,290.00,10.00,M,29.79,M,7.00,M,OVC,   ,   ,   ,1400.00,M,M,M,M,M,M,M,M,M,M,11.68,KAGC 130400Z 29010KT 7SM OVC014 M05/M07 A2979 RMK SLPNO T10501067
AGC,1996-01-13 05:00,23.00,19.94,87.85,280.00,8.00,M,29.80,M,7.00,M,OVC,   ,   ,   ,1400.00,M,M,M,M,M,M,M,M,M,M,13.03,KAGC 130500Z 28008KT 7SM OVC014 M05/M07 A2980 RMK SLPNO T10501067
AGC,1996-01-13 06:00,21.92,18.86,87.79,290.00,12.00,M,29.80,M,6.00,M,OVC,   ,   ,   ,1000.00,M,M,M,FG,M,M,M,M,M,M,9.17,KAGC 130600Z 29012KT 6SM FG OVC010 M06/M07 A2980 RMK SLPNO T10561073
AGC,1996-01-13 07:00,21.92,17.96,84.47,280.00,12.00,M,29.81,M,7.00,M,OVC,   ,   ,   ,1000.00,M,M,M,M,M,M,M,M,M,M,9.17,KAGC 130700Z 28012KT 7SM OVC010 M06/M08 A2981 RMK SLPNO T10561078
AGC,1996-01-13 08:00,21.92,18.86,87.79,290.00,12.00,M,29.82,M,7.00,M,OVC,   ,   ,   ,1000.00,M,M,M,M,M,M,M,M,M,M,9.17,KAGC 130800Z 29012KT 7SM OVC010 M06/M07 A2982 RMK SLPNO T10561073
AGC,1996-01-13 09:00,19.94,16.88,87.69,270.00,12.00,M,29.82,M,6.00,M,OVC,   ,   ,   ,1000.00,M,M,M,SG FG,M,M,M,M,M,M,6.65,KAGC 130900Z 27012KT 6SM SG FG OVC010 M07/M08 A2982 RMK SB40; SLPNO T10671084
AGC,1996-01-13 10:00,19.94,16.88,87.69,270.00,13.00,M,29.83,M,6.00,M,OVC,   ,   ,   ,1000.00,M,M,M,SG FG,M,M,M,M,M,M,6.12,KAGC 131000Z 27013KT 6SM SG FG OVC010 M07/M08 A2983 RMK SLPNO T10671084
AGC,1996-01-13 11:00,19.94,17.96,91.87,250.00,10.00,M,29.83,M,5.00,M,OVC,   ,   ,   ,1000.00,M,M,M,SG FG,M,M,M,M,M,M,7.84,KAGC 131100Z 25010KT 5SM SG FG OVC010 M07/M08 A2983 RMK SLPNO T10671078
AGC,1996-01-13 12:00,19.94,17.96,91.87,250.00,14.00,M,29.84,M,5.00,M,OVC,   ,   ,   ,1000.00,M,M,M,SG FG,M,M,M,M,M,M,5.62,KAGC 131200Z 25014KT 5SM SG FG OVC010 M07/M08 A2984 RMK /70010; SLPNO 60018 70012 T10671078 411781633 540/0
AGC,1996-01-13 13:00,20.84,18.86,91.90,230.00,10.00,M,29.84,M,1.00,M,OVC,OVC,   ,   ,M,600.00,M,M,SG FG,M,M,M,M,M,M,8.97,KAGC 131300Z 23010KT 1SM SG FG OVC/// OVC006 M06/M07 A2984 RMK R28VR 60+ SF3; SLPNO T10621073
AGC,1996-01-13 14:00,20.84,19.94,96.24,240.00,12.00,M,29.85,M,1.00,M,OVC,OVC,   ,   ,M,600.00,M,M,FG,M,M,M,M,M,M,7.80,KAGC 131400Z 24012KT 1SM FG OVC/// OVC006 M06/M07 A2985 RMK R28VR40/ F3 SGE40; SLPNO T10621067
AGC,1996-01-13 15:00,21.92,19.94,91.94,240.00,10.00,M,29.87,M,1.00,M,OVC,OVC,   ,   ,M,500.00,M,M,-SN FG,M,M,M,M,M,M,10.33,KAGC 131500Z 24010KT 1SM -SN FG OVC/// OVC005 M06/M07 A2987 RMK R28VR60+ SF4 SB45; SLPNO T10561067
AGC,1996-01-13 16:00,23.00,21.92,95.55,230.00,10.00,M,29.87,M,1.00,M,OVC,OVC,   ,   ,M,500.00,M,M,-SN FG,M,M,M,M,M,M,11.68,KAGC 131600Z 23010KT 1SM -SN FG OVC/// OVC005 M05/M06 A2987 RMK R28VR60+ SF4; SLPNO T10501056
AGC,1996-01-13 17:00,24.98,21.92,87.96,210.00,8.00,M,29.84,M,1.00,M,OVC,OVC,   ,   ,M,500.00,M,M,-SN FG,M,M,M,M,M,M,15.47,KAGC 131700Z 21008KT 1SM -SN FG OVC/// OVC005 M04/M06 A2984 RMK R28VR60+ F3; SLPNO T10391056
AGC,1996-01-13 18:00,25.88,23.90,92.08,240.00,10.00,M,29.82,M,1.00,M,OVC,   ,   ,   ,500.00,M,M,M,-SN FG,M,M,M,M,M,M,15.29,KAGC 131800Z 24010KT 1SM -SN FG OVC005 M03/M05 A2982 RMK R28VR60+; SLPNO T10341045
AGC,1996-01-13 19:00,25.88,23.00,88.67,250.00,13.00,M,29.82,M,1.00,M,OVC,   ,   ,   ,500.00,M,M,M,-SN FG,M,M,M,M,M,M,13.73,KAGC 131900Z 25013KT 1SM -SN FG OVC005 M03/M05 A2982 RMK R28VR60+; SLPNO T10341050
AGC,1996-01-13 19:20,M,M,M,240.00,15.00,M,29.81,M,2.00,M,OVC,   ,   ,   ,900.00,M,M,M,FG,M,M,M,M,M,M,M,KAGC 131920Z 24015KT 2SM FG OVC009 A2981 RMK SE10; SLPNO
AGC,1996-01-13 21:00,26.96,23.90,88.06,250.00,15.00,M,29.84,M,2.00,M,OVC,   ,   ,   ,900.00,M,M,M,FG,M,M,M,M,M,M,14.25,KAGC 132100Z 25015KT 2SM FG OVC009 M03/M05 A2984 RMK SLPNO T10281045
AGC,1996-01-13 22:00,27.86,23.90,84.86,250.00,12.00,M,29.85,M,2.00,M,OVC,   ,   ,   ,900.00,M,M,M,FG,M,M,M,M,M,M,16.73,KAGC 132200Z 25012KT 2SM FG OVC009 M02/M05 A2985 RMK SLPNO T10231045
AGC,1996-01-13 23:00,27.86,24.98,88.77,210.00,10.00,M,29.86,M,2.00,M,OVC,   ,   ,   ,500.00,M,M,M,FG,M,M,M,M,M,M,17.78,KAGC 132300Z 21010KT 2SM FG OVC005 M02/M04 A2986 RMK SLPNO T10231039
AGC,1996-01-14 00:00,27.86,25.88,92.15,240.00,10.00,M,29.87,M,1.00,M,OVC,   ,   ,   ,500.00,M,M,M,FG,M,M,M,M,M,M,17.78,KAGC 140000Z 24010KT 1SM FG OVC005 M02/M03 A2987 RMK R28VR60+; SLPNO T10231034
AGC,1996-01-14 01:00,27.86,25.88,92.15,250.00,12.00,M,29.89,M,1.00,M,OVC,   ,   ,   ,500.00,M,M,M,FG,M,M,M,M,M,M,16.73,KAGC 140100Z 25012KT 1SM FG OVC005 M02/M03 A2989 RMK R28VR60+; SLPNO T10231034
AGC,1996-01-14 02:00,27.86,26.96,96.36,260.00,10.00,M,29.90,M,1.00,M,OVC,   ,   ,   ,500.00,M,M,M,FG,M,M,M,M,M,M,17.78,KAGC 140200Z 26010KT 1SM FG OVC005 M02/M03 A2990 RMK R28VR60; SLPNO T10231028
AGC,1996-01-14 03:00,28.94,26.96,92.19,260.00,10.00,M,29.93,M,2.00,M,OVC,   ,   ,   ,500.00,M,M,M,FG,M,M,M,M,M,M,19.13,KAGC 140300Z 26010KT 2SM FG OVC005 M02/M03 A2993 RMK SLPNO T10171028
AGC,1996-01-14 04:00,28.94,25.88,88.16,240.00,9.00,M,29.94,M,2.00,M,OVC,   ,   ,   ,500.00,M,M,M,-SHSN FG,M,M,M,M,M,M,19.71,KAGC 140400Z 24009KT 2SM -SHSN FG OVC005 M02/M03 A2994 RMK SB30; SLPNO T10171034
