station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AVP,1996-01-13 00:00,26.96,26.06,96.35,320.00,4.00,0.08,29.59,1003.20,0.50,M,OVC,   ,   ,   ,400.00,M,M,M,SN FG,M,M,M,M,M,M,21.53,KAVP 130000Z 32004KT 1/2SM SN FG OVC004 M03/M03 A2959 RMK 4/028/ 6050/ 10029 20021/ /R04VR60+; SLP032 P0008 60002 T10281033 55080
AVP,1996-01-13 00:27,M,M,M,300.00,4.00,M,29.59,M,0.50,M,OVC,   ,   ,   ,1400.00,M,M,M,SN FG,M,M,M,M,M,M,M,KAVP 130027Z 30004KT 1/2SM SN FG OVC014 A2959 RMK R04VR60+; SLPNO
AVP,1996-01-13 00:40,M,M,M,300.00,5.00,M,29.59,M,3.00,M,OVC,   ,   ,   ,1400.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KAVP 130040Z 30005KT 3SM -SN FG OVC014 A2959 RMK SLPNO
AVP,1996-01-13 01:00,26.06,24.08,92.09,310.00,7.00,0.01,29.59,1003.20,3.00,M,OVC,   ,   ,   ,1300.00,M,M,M,-SN FG,M,M,M,M,M,M,17.54,KAVP 130100Z 31007KT 3SM -SN FG OVC013 M03/M04 A2959 RMK SLP032 P0001 T10331044
AVP,1996-01-13 01:40,M,M,M,350.00,7.00,M,29.59,M,3.00,M,OVC,   ,   ,   ,2000.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KAVP 130140Z 35007KT 3SM -SN FG OVC020 A2959 RMK SLPNO
AVP,1996-01-13 02:00,24.98,21.92,87.96,330.00,11.00,0.01,29.63,1003.40,3.00,M,OVC,   ,   ,   ,M,M,M,M,-SN FG,M,M,M,M,M,M,13.60,KAVP 130200Z 33011KT 3SM -SN FG OVC/// M04/M06 A//// RMK SLP034 P0001 T10391056
AVP,1996-01-13 03:00,26.06,21.92,84.10,350.00,6.00,0.01,29.59,1003.40,4.00,M,OVC,   ,   ,   ,2400.00,M,M,M,-SN FG,M,M,M,M,M,M,18.38,KAVP 130300Z 35006KT 4SM -SN FG OVC024 M03/M06 A2959 RMK 8/5/// 6030/; SLP034 P0001 T10331056 55030
AVP,1996-01-13 04:00,24.98,21.92,87.96,350.00,8.00,M,29.60,1003.60,2.00,M,OVC,   ,   ,   ,1300.00,M,M,M,-SN FG,M,M,M,M,M,M,15.47,KAVP 130400Z 35008KT 2SM -SN FG OVC013 M04/M06 A2960 RMK SLP036 T10391056
AVP,1996-01-13 04:18,M,M,M,0.00,0.00,M,29.60,M,2.00,M,OVC,   ,   ,   ,800.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KAVP 130418Z 00000KT 2SM -SN FG OVC008 A2960 RMK SLPNO
AVP,1996-01-13 04:32,M,M,M,350.00,11.00,M,29.60,M,2.00,M,OVC,   ,   ,   ,1600.00,M,M,M,-SN FG,M,M,M,M,M,M,M,KAVP 130432Z 35011KT 2SM -SN FG OVC016 A2960 RMK SLPNO
AVP,1996-01-13 05:00,24.98,21.02,84.67,340.00,8.00,0.02,29.59,1003.40,4.00,M,OVC,   ,   ,   ,3300.00,M,M,M,-SN FG,M,M,M,M,M,M,15.47,KAVP 130500Z 34008KT 4SM -SN FG OVC033 M04/M06 A2959 RMK 400290016; SLP034 P0002 T10391061
AVP,1996-01-13 06:00,24.98,19.94,80.87,330.00,4.00,M,29.60,1003.70,7.00,M,SCT,OVC,   ,   ,1300.00,3300.00,M,M,M,M,M,M,M,M,M,19.22,KAVP 130600Z 33004KT 7SM SCT013 OVC033 M04/M07 A2960 RMK 4/029/ 52003 6005/ 10027 20025/ SE15; SLP037 600// T10391067 580/5
