station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BGM,1996-01-13 00:00,23.00,21.02,91.98,360.00,14.00,M,29.60,1004.80,0.50,M,OVC,   ,   ,   ,300.00,M,M,M,SN FG,M,M,M,M,M,M,9.56,METAR KBGM 130000Z 36014KT 1/2SM SN FG OVC003 M05/M06 A2960 RMK SNOINCR 56013 6027/ 10023 20020; SLP048 60019 8//19 T10501061 411781628 540/0
BGM,1996-01-13 01:00,23.00,21.02,91.98,360.00,14.00,M,29.67,1004.60,0.75,M,BKN,OVC,   ,   ,1000.00,1900.00,M,M,-SN FG,M,M,M,M,M,M,9.56,METAR KBGM 130100Z 36014KT 3/4SM -SN FG BKN010 OVC019 M05/M06 A//// RMK SLP046 T10501061
BGM,1996-01-13 01:20,23.00,20.84,91.28,360.00,13.00,M,29.59,1004.50,0.75,M,BKN,BKN,OVC,   ,1500.00,2200.00,2600.00,M,-SN FG,M,M,M,M,M,M,10.04,METAR KBGM 130120Z 36013KT 3/4SM -SN FG BKN015 BKN022 OVC026 M05/M06 A2959 RMK SLP045 T10501062
BGM,1996-01-13 02:00,23.00,21.02,91.98,360.00,12.00,M,29.65,1004.20,0.50,M,OVC,   ,   ,   ,1100.00,M,M,M,-SN FG,M,M,M,M,M,M,10.55,METAR KBGM 130200Z 36012KT 1/2SM -SN FG OVC011 M05/M06 A//// RMK SLP042 T10501061
BGM,1996-01-13 03:00,21.92,21.02,96.26,320.00,12.00,M,29.58,1004.20,0.50,M,SCT,BKN,OVC,   ,700.00,1500.00,2500.00,M,SN FG,M,M,M,M,M,M,9.17,METAR KBGM 130300Z 32012KT 1/2SM SN FG SCT007 BKN015 OVC025 M06/M06 A2958 RMK SNOINCR 6010/; SLP042 8//20 T10561061 55060
BGM,1996-01-13 04:00,19.94,19.04,96.23,320.00,14.00,M,29.57,1003.70,0.50,M,SCT,OVC,   ,   ,700.00,1900.00,M,M,-SN FG,M,M,M,M,M,M,5.62,METAR KBGM 130400Z 32014KT 1/2SM -SN FG SCT007 OVC019 M07/M07 A2957 RMK SLP037 T10671072
BGM,1996-01-13 04:20,19.94,17.96,91.87,320.00,13.00,M,29.56,1003.40,2.50,M,BKN,BKN,OVC,   ,2100.00,4300.00,6000.00,M,-SN FG,M,M,M,M,M,M,6.12,METAR KBGM 130420Z 32013KT 21/2SM -SN FG BKN021 BKN043 OVC060 M07/M08 A2956 RMK BKN V OVC; SLP034 T10671078
BGM,1996-01-13 05:00,19.04,17.06,91.84,310.00,12.00,M,29.55,1003.20,0.75,M,OVC,   ,   ,   ,1900.00,M,M,M,-SN FG,M,M,M,M,M,M,5.51,METAR KBGM 130500Z 31012KT 3/4SM -SN FG OVC019 M07/M08 A2955 RMK 400230014; SLP032 T10721083
BGM,1996-01-13 06:00,19.04,17.06,91.84,320.00,13.00,M,29.57,1003.60,3.00,M,SCT,OVC,   ,   ,800.00,1900.00,M,M,-SN FG,M,M,M,M,M,M,4.97,METAR KBGM 130600Z 32013KT 3SM -SN FG SCT008 OVC019 M07/M08 A2957 RMK AO2A 8 SCT M19 OVC 3S-F 036/19/17/3213/957/ 55005 6012/ 10023 20019; SLP036 60020 T10721083 411781622 540/0
BGM,1996-01-13 07:00,19.04,17.96,95.47,330.00,9.00,M,29.58,1004.00,2.00,M,OVC,   ,   ,   ,400.00,M,M,M,-SN FG,M,M,M,M,M,M,7.40,METAR KBGM 130700Z 33009KT 2SM -SN FG OVC004 M07/M08 A2958 RMK SLP040 T10721078
