station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CXY,1996-01-13 11:00,24.98,15.98,68.20,310.00,15.00,M,29.75,M,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,11.68,KCXY 131100Z 31015KT 10SM CLR M04/M09 A2975 RMK SLPNO T10391089
CXY,1996-01-13 12:00,24.98,15.98,68.20,290.00,10.00,M,29.77,M,7.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,14.16,KCXY 131200Z 29010KT 7SM CLR M04/M09 A2977 RMK SLPNO T10391089
CXY,1996-01-13 13:00,20.84,14.00,74.45,310.00,10.00,M,29.79,M,7.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,8.97,KCXY 131300Z 31010KT 7SM CLR M06/M10 A2979 RMK SLPNO T10621100
CXY,1996-01-13 16:00,32.00,20.84,63.02,310.00,12.00,M,29.83,M,10.00,M,OVC,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,22.00,KCXY 131600Z 31012KT 10SM OVC030 00/M06 A2983 RMK SLPNO T00001062
CXY,1996-01-13 17:00,32.90,20.84,60.78,310.00,15.00,M,29.79,M,10.00,M,OVC,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,21.95,KCXY 131700Z 31015KT 10SM OVC030 01/M06 A2979 RMK SLPNO T00051062
CXY,1996-01-13 19:00,34.88,23.00,61.52,280.00,13.00,M,29.77,M,10.00,20.00,SCT,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,25.26,KCXY 131900Z 28013G20KT 10SM SCT030 02/M05 A2977 RMK SLPNO T00161050
CXY,1996-01-13 21:00,34.88,23.90,63.89,310.00,15.00,M,29.77,M,10.00,M,BKN,   ,   ,   ,2400.00,M,M,M,M,M,M,M,M,M,M,24.51,KCXY 132100Z 31015KT 10SM BKN024 02/M05 A2977 RMK SLPNO T00161045
CXY,1996-01-13 22:00,33.98,23.90,66.22,310.00,9.00,M,29.78,M,10.00,M,SCT,BKN,   ,   ,3000.00,8000.00,M,M,M,M,M,M,M,M,M,25.98,KCXY 132200Z 31009KT 10SM SCT030 BKN080 01/M05 A2978 RMK SLPNO T00111045
CXY,1996-01-13 23:00,33.98,24.98,69.28,320.00,14.00,M,29.83,M,7.00,M,BKN,BKN,   ,   ,4000.00,7000.00,M,M,M,M,M,M,M,M,M,23.71,KCXY 132300Z 32014KT 7SM BKN040 BKN070 01/M04 A2983 RMK SLPNO T00111039
CXY,1996-01-14 00:00,30.92,23.00,72.12,270.00,8.00,M,29.84,M,7.00,M,BKN,   ,   ,   ,4000.00,M,M,M,M,M,M,M,M,M,M,22.78,KCXY 140000Z 27008KT 7SM BKN040 M01/M05 A2984 RMK SLPNO T10061050
CXY,1996-01-14 01:00,28.94,23.00,78.18,260.00,7.00,M,29.86,M,7.00,M,BKN,OVC,   ,   ,2700.00,3500.00,M,M,M,M,M,M,M,M,M,21.05,KCXY 140100Z 26007KT 7SM BKN027 OVC035 M02/M05 A2986 RMK SLPNO T10171050
