station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IPT,1996-01-13 00:00,23.00,21.02,91.98,280.00,10.00,M,29.66,1005.00,1.25,M,BKN,BKN,OVC,   ,500.00,900.00,1500.00,M,-SN FG,M,M,M,M,M,M,11.68,KIPT 130000Z 28010KT 11/4SM -SN FG BKN005 BKN009 OVC015 M05/M06 A2966 RMK SNOINCR 58007 6037/ 10023 20017 PCPN 0003; SLP050 60026 8//26 T10501061 411781589 540/0
IPT,1996-01-13 00:06,M,M,M,280.00,10.00,M,29.66,1004.90,1.50,M,BKN,OVC,   ,   ,700.00,1300.00,M,M,-SN FG,M,M,M,M,M,M,M,KIPT 130006Z 28010KT 11/2SM -SN FG BKN007 OVC013 A2966 RMK PCPN 0000; SLP049
IPT,1996-01-13 00:18,M,M,M,270.00,12.00,M,29.65,1004.80,2.00,M,BKN,OVC,   ,   ,1200.00,1700.00,M,M,-SN FG,M,M,M,M,M,M,M,KIPT 130018Z 27012KT 2SM -SN FG BKN012 OVC017 A2965 RMK PCPN 0000; SLP048
IPT,1996-01-13 00:35,M,M,M,270.00,8.00,M,29.65,1004.80,3.00,M,SCT,BKN,OVC,   ,1400.00,4800.00,6000.00,M,-SN FG,M,M,M,M,M,M,M,KIPT 130035Z 27008KT 3SM -SN FG SCT014 BKN048 OVC060 A2965 RMK PCPN 0000; SLP048
IPT,1996-01-13 01:00,24.08,21.92,91.32,270.00,12.00,M,29.65,1004.80,4.00,M,SCT,BKN,OVC,   ,4800.00,6000.00,9000.00,M,-SN FG,M,M,M,M,M,M,11.92,KIPT 130100Z 27012KT 4SM -SN FG SCT048 BKN060 OVC090 M04/M06 A2965 RMK PCPN 0000; SLP048 T10441056
IPT,1996-01-13 01:18,M,M,M,270.00,10.00,M,29.65,1004.90,4.00,M,BKN,BKN,OVC,   ,2800.00,5000.00,9000.00,M,-SN FG,M,M,M,M,M,M,M,KIPT 130118Z 27010KT 4SM -SN FG BKN028 BKN050 OVC090 A2965 RMK PCPN 0000; SLP049
IPT,1996-01-13 01:30,24.98,21.92,87.96,270.00,11.00,M,29.66,1005.00,7.00,M,SCT,SCT,OVC,   ,1900.00,3100.00,7000.00,M,-SN,M,M,M,M,M,M,13.60,KIPT 130130Z 27011KT 7SM -SN SCT019 SCT031 OVC070 M04/M06 A2966 RMK PCPN 0000; SLP050 T10391056
IPT,1996-01-13 02:00,24.98,21.02,84.67,270.00,13.00,M,29.68,1005.10,10.00,M,OVC,   ,   ,   ,6500.00,M,M,M,M,M,M,M,M,M,M,12.57,KIPT 130200Z 27013KT 10SM OVC065 M04/M06 A//// RMK SLP051 T10391061
IPT,1996-01-13 03:00,26.96,21.02,78.00,270.00,13.00,M,29.67,1005.50,10.00,M,OVC,   ,   ,   ,2700.00,M,M,M,M,M,M,M,M,M,M,15.11,KIPT 130300Z 27013KT 10SM OVC027 M03/M06 A2967 RMK 6000/ OVC V BKN; SLP055 T10281061 55030
IPT,1996-01-13 04:00,26.96,21.02,78.00,270.00,10.00,M,29.66,1005.00,5.00,M,OVC,   ,   ,   ,2500.00,M,M,M,-SN,M,M,M,M,M,M,16.65,KIPT 130400Z 27010KT 5SM -SN OVC025 M03/M06 A2966 RMK SB26 PCPN 0000; SLP050 T10281061
IPT,1996-01-13 05:00,26.06,19.94,77.32,270.00,13.00,M,29.66,1005.00,10.00,M,OVC,   ,   ,   ,2300.00,M,M,M,-SN,M,M,M,M,M,M,13.96,KIPT 130500Z 27013KT 10SM -SN OVC023 M03/M07 A2966 RMK 400270017 SE11B50 PCPN 0000; SLP050 T10331067
IPT,1996-01-13 06:00,26.06,19.94,77.32,270.00,10.00,M,29.67,1005.30,10.00,M,OVC,   ,   ,   ,2100.00,M,M,M,M,M,M,M,M,M,M,15.52,KIPT 130600Z 27010KT 10SM OVC021 M03/M07 A2967 RMK 55002 6000/ 10027 20017 SE44 PCPN 0000; SLP053 60026 T10331067 411781589 540/0
