station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
UNV,1996-01-13 00:00,16.88,12.92,84.12,0.00,0.00,M,29.66,M,5.00,M,SCT,BKN,   ,   ,1600.00,2300.00,M,M,FG,M,M,M,M,M,M,16.88,KUNV 130000Z 00000KT 5SM FG SCT016 BKN023 M08/M11 A2966 RMK SLPNO T10841106
UNV,1996-01-13 01:00,18.86,14.90,84.26,250.00,5.00,M,29.66,M,5.00,M,OVC,   ,   ,   ,1700.00,M,M,M,FG,M,M,M,M,M,M,10.79,KUNV 130100Z 25005KT 5SM FG OVC017 M07/M10 A2966 RMK SLPNO T10731095
UNV,1996-01-13 03:00,23.00,16.88,77.04,250.00,3.00,M,29.68,M,5.00,M,OVC,   ,   ,   ,1900.00,M,M,M,FG,M,M,M,M,M,M,18.40,KUNV 130300Z 25003KT 5SM FG OVC019 M05/M08 A2968 RMK SLPNO T10501084
UNV,1996-01-13 04:00,23.90,16.88,74.18,240.00,4.00,M,29.67,M,5.00,M,OVC,   ,   ,   ,1700.00,M,M,M,FG,M,M,M,M,M,M,17.96,KUNV 130400Z 24004KT 5SM FG OVC017 M05/M08 A2967 RMK LAST; SLPNO T10451084
UNV,1996-01-13 10:00,19.94,12.92,73.77,290.00,13.00,M,29.71,M,7.00,18.00,BKN,   ,   ,   ,1700.00,M,M,M,M,M,M,M,M,M,M,6.12,KUNV 131000Z 29013G18KT 7SM BKN017 M07/M11 A2971 RMK SLPNO T10671106
UNV,1996-01-13 12:00,19.94,12.92,73.77,290.00,9.00,M,29.75,M,7.00,19.00,BKN,   ,   ,   ,1500.00,M,M,M,M,M,M,M,M,M,M,8.52,KUNV 131200Z 29009G19KT 7SM BKN015 M07/M11 A2975 RMK SLPNO T10671106
UNV,1996-01-13 15:00,21.92,15.98,77.54,260.00,8.00,M,29.77,M,7.00,M,OVC,   ,   ,   ,1700.00,M,M,M,M,M,M,M,M,M,M,11.70,KUNV 131500Z 26008KT 7SM OVC017 M06/M09 A2977 RMK SLPNO T10561089
UNV,1996-01-13 17:00,25.88,16.88,68.31,260.00,11.00,M,29.75,M,10.00,M,BKN,OVC,   ,   ,1700.00,15000.00,M,M,M,M,M,M,M,M,M,14.73,KUNV 131700Z 26011KT 10SM BKN017 OVC150 M03/M08 A2975 RMK SLPNO T10341084
UNV,1996-01-13 18:00,27.86,17.96,65.95,280.00,11.00,M,29.73,M,10.00,M,BKN,OVC,   ,   ,1700.00,15000.00,M,M,M,M,M,M,M,M,M,17.23,KUNV 131800Z 28011KT 10SM BKN017 OVC150 M02/M08 A2973 RMK SLPNO T10231078
UNV,1996-01-13 19:00,27.86,18.86,68.55,290.00,10.00,M,29.72,M,10.00,15.00,BKN,BKN,   ,   ,1700.00,15000.00,M,M,M,M,M,M,M,M,M,17.78,KUNV 131900Z 29010G15KT 10SM BKN017 BKN150 M02/M07 A2972 RMK SLPNO T10231073
